"reniec","inei","Nombre","Nombrecompleto"
"140710","151009","Chocos","Lima/Yauyos/Chocos"
"140711","151013","Huampara","Lima/Yauyos/Huampara"
"140712","151014","Huancaya","Lima/Yauyos/Huancaya"
"140713","151015","Huangascar","Lima/Yauyos/Huangascar"
"140714","151016","Huantan","Lima/Yauyos/Huantan"
"140715","151017","Huanec","Lima/Yauyos/Huanec"
"140716","151018","Laraos","Lima/Yauyos/Laraos"
"140717","151019","Lincha","Lima/Yauyos/Lincha"
"140718","151021","Miraflores","Lima/Yauyos/Miraflores"
"140719","151022","Omas","Lima/Yauyos/Omas"
"140720","151024","Quinches","Lima/Yauyos/Quinches"
"140721","151025","Quinocay","Lima/Yauyos/Quinocay"
"140722","151026","San Joaquin","Lima/Yauyos/San Joaquin"
"140723","151027","San Pedro De Pilas","Lima/Yauyos/San Pedro De Pilas"
"140724","151028","Tanta","Lima/Yauyos/Tanta"
"140725","151029","Tauripampa","Lima/Yauyos/Tauripampa"
"140726","151031","Tupe","Lima/Yauyos/Tupe"
"140727","151030","Tomas","Lima/Yauyos/Tomas"
"140728","151032","Vinac","Lima/Yauyos/Vinac"
"140729","151033","Vitis","Lima/Yauyos/Vitis"
"140730","151012","Hongos","Lima/Yauyos/Hongos"
"140731","151020","Madean","Lima/Yauyos/Madean"
"140732","151023","Putinza","Lima/Yauyos/Putinza"
"140733","151008","Catahuasi","Lima/Yauyos/Catahuasi"
"140800","150600","Huaral","Lima/Huaral/"
"140801","150601","Huaral","Lima/Huaral/Huaral"
"140802","150602","Atavillos Alto","Lima/Huaral/Atavillos Alto"
"140803","150603","Atavillos Bajo","Lima/Huaral/Atavillos Bajo"
"140804","150604","Aucallama","Lima/Huaral/Aucallama"
"140805","150605","Chancay","Lima/Huaral/Chancay"
"140806","150606","Ihuari","Lima/Huaral/Ihuari"
"140807","150607","Lampian","Lima/Huaral/Lampian"
"140808","150608","Pacaraos","Lima/Huaral/Pacaraos"
"140809","150609","San Miguel De Acos","Lima/Huaral/San Miguel De Acos"
"140810","150612","Veintisiete De Noviembre","Lima/Huaral/Veintisiete De Noviembre"
"140811","150610","Sta Cruz De Andamarca","Lima/Huaral/Sta Cruz De Andamarca"
"140812","150611","Sumbilca","Lima/Huaral/Sumbilca"
"140900","150200","Barranca","Lima/Barranca/"
"140901","150201","Barranca","Lima/Barranca/Barranca"
"140902","150202","Paramonga","Lima/Barranca/Paramonga"
"140903","150203","Pativilca","Lima/Barranca/Pativilca"
"140904","150204","Supe","Lima/Barranca/Supe"
"140905","150205","Supe Puerto","Lima/Barranca/Supe Puerto"
"141000","150900","Oyon","Lima/Oyon/"
"141001","150901","Oyon","Lima/Oyon/Oyon"
"141002","150905","Navan","Lima/Oyon/Navan"
"141003","150903","Caujul","Lima/Oyon/Caujul"
"141004","150902","Andajes","Lima/Oyon/Andajes"
"141005","150906","Pachangara","Lima/Oyon/Pachangara"
"141006","150904","Cochamarca","Lima/Oyon/Cochamarca"
"150000","160000","Loreto","Loreto//"
"150100","160100","Maynas","Loreto/Maynas/"
"150101","160101","Iquitos","Loreto/Maynas/Iquitos"
"150102","160102","Alto Nanay","Loreto/Maynas/Alto Nanay"
"150103","160103","Fernando Lores","Loreto/Maynas/Fernando Lores"
"150104","160105","Las Amazonas","Loreto/Maynas/Las Amazonas"
"150105","160106","Mazan","Loreto/Maynas/Mazan"
"150106","160107","Napo","Loreto/Maynas/Napo"
"150107","160109","Putumayo","Loreto/Maynas/Putumayo"
"150108","160110","Torres Causana","Loreto/Maynas/Torres Causana"
"150110","160104","Indiana","Loreto/Maynas/Indiana"
"150111","160108","Punchana","Loreto/Maynas/Punchana"
"150112","160112","Belen","Loreto/Maynas/Belen"
"150113","160113","San Juan Bautista","Loreto/Maynas/San Juan Bautista"
"150114","160114","Tnte Manuel Clavero","Loreto/Maynas/Tnte Manuel Clavero"
"150200","160200","Alto Amazonas","Loreto/Alto Amazonas/"
"150201","160201","Yurimaguas","Loreto/Alto Amazonas/Yurimaguas"
"150202","160202","Balsapuerto","Loreto/Alto Amazonas/Balsapuerto"
"150205","160205","Jeberos","Loreto/Alto Amazonas/Jeberos"
"150206","160206","Lagunas","Loreto/Alto Amazonas/Lagunas"
"150210","160210","Santa Cruz","Loreto/Alto Amazonas/Santa Cruz"
"150211","160211","Tnte Cesar Lopez Rojas","Loreto/Alto Amazonas/Tnte Cesar Lopez Rojas"
"150300","160300","Loreto","Loreto/Loreto/"
"150301","160301","Nauta","Loreto/Loreto/Nauta"
"150302","160302","Parinari","Loreto/Loreto/Parinari"
"150303","160303","Tigre","Loreto/Loreto/Tigre"
"150304","160305","Urarinas","Loreto/Loreto/Urarinas"
"150305","160304","Trompeteros","Loreto/Loreto/Trompeteros"
"150400","160500","Requena","Loreto/Requena/"
"150401","160501","Requena","Loreto/Requena/Requena"
"150402","160502","Alto Tapiche","Loreto/Requena/Alto Tapiche"
"150403","160503","Capelo","Loreto/Requena/Capelo"
"150404","160504","Emilio San Martin","Loreto/Requena/Emilio San Martin"
"150405","160505","Maquia","Loreto/Requena/Maquia"
"150406","160506","Puinahua","Loreto/Requena/Puinahua"
"150407","160507","Saquena","Loreto/Requena/Saquena"
"150408","160508","Soplin","Loreto/Requena/Soplin"
"150409","160509","Tapiche","Loreto/Requena/Tapiche"
"150410","160510","Jenaro Herrera","Loreto/Requena/Jenaro Herrera"
"150411","160511","Yaquerana","Loreto/Requena/Yaquerana"
"150500","160600","Ucayali","Loreto/Ucayali/"
"150501","160601","Contamana","Loreto/Ucayali/Contamana"
"150502","160606","Vargas Guerra","Loreto/Ucayali/Vargas Guerra"
"150503","160603","Padre Marquez","Loreto/Ucayali/Padre Marquez"
"150504","160604","Pampa Hermoza","Loreto/Ucayali/Pampa Hermoza"
"150505","160605","Sarayacu","Loreto/Ucayali/Sarayacu"
"150506","160602","Inahuaya","Loreto/Ucayali/Inahuaya"
"150600","160400","Mariscal Ramon Castilla","Loreto/Mariscal Ramon Castilla/"
"150601","160401","Mariscal Ramon Castilla","Loreto/Mariscal Ramon Castilla/Mariscal Ramon Castilla"
"150602","160402","Pebas","Loreto/Mariscal Ramon Castilla/Pebas"
"150603","160403","Yavari","Loreto/Mariscal Ramon Castilla/Yavari"
"150604","160404","San Pablo","Loreto/Mariscal Ramon Castilla/San Pablo"
"150700","160700","Datem Del Marañon","Loreto/Datem Del Marañon/"
"150701","160701","Barranca","Loreto/Datem Del Marañon/Barranca"
"150702","160706","Andoas","Loreto/Datem Del Marañon/Andoas"
"150703","160702","Cahuapanas","Loreto/Datem Del Marañon/Cahuapanas"
"150704","160703","Manseriche","Loreto/Datem Del Marañon/Manseriche"
"150705","160704","Morona","Loreto/Datem Del Marañon/Morona"
"150706","160705","Pastaza","Loreto/Datem Del Marañon/Pastaza"
"160000","170000","Madre De Dios","Madre De Dios//"
"160100","170100","Tambopata","Madre De Dios/Tambopata/"
"160101","170101","Tambopata","Madre De Dios/Tambopata/Tambopata"
"160102","170102","Inambari","Madre De Dios/Tambopata/Inambari"
"160103","170103","Las Piedras","Madre De Dios/Tambopata/Las Piedras"
"160104","170104","Laberinto","Madre De Dios/Tambopata/Laberinto"
"160200","170200","Manu","Madre De Dios/Manu/"
"160201","170201","Manu","Madre De Dios/Manu/Manu"
"160202","170202","Fitzcarrald","Madre De Dios/Manu/Fitzcarrald"
"160203","170203","Madre De Dios","Madre De Dios/Manu/Madre De Dios"
"160204","170204","Huepetuhe","Madre De Dios/Manu/Huepetuhe"
"160300","170300","Tahuamanu","Madre De Dios/Tahuamanu/"
"160301","170301","Inapari","Madre De Dios/Tahuamanu/Inapari"
"160302","170302","Iberia","Madre De Dios/Tahuamanu/Iberia"
"160303","170303","Tahuamanu","Madre De Dios/Tahuamanu/Tahuamanu"
"170000","180000","Moquegua","Moquegua//"
"170100","180100","Mariscal Nieto","Moquegua/Mariscal Nieto/"
"170101","180101","Moquegua","Moquegua/Mariscal Nieto/Moquegua"
"170102","180102","Carumas","Moquegua/Mariscal Nieto/Carumas"
"170103","180103","Cuchumbaya","Moquegua/Mariscal Nieto/Cuchumbaya"
"170104","180105","San Cristobal","Moquegua/Mariscal Nieto/San Cristobal"
"170105","180106","Torata","Moquegua/Mariscal Nieto/Torata"
"170106","180104","Samegua","Moquegua/Mariscal Nieto/Samegua"
"170200","180200","General Sanchez Cerro","Moquegua/General Sanchez Cerro/"
"170201","180201","Omate","Moquegua/General Sanchez Cerro/Omate"
"170202","180203","Coalaque","Moquegua/General Sanchez Cerro/Coalaque"
"170203","180202","Chojata","Moquegua/General Sanchez Cerro/Chojata"
"170204","180204","Ichuna","Moquegua/General Sanchez Cerro/Ichuna"
"170205","180205","La Capilla","Moquegua/General Sanchez Cerro/La Capilla"
"170206","180206","Lloque","Moquegua/General Sanchez Cerro/Lloque"
"170207","180207","Matalaque","Moquegua/General Sanchez Cerro/Matalaque"
"170208","180208","Puquina","Moquegua/General Sanchez Cerro/Puquina"
"170209","180209","Quinistaquillas","Moquegua/General Sanchez Cerro/Quinistaquillas"
"170210","180210","Ubinas","Moquegua/General Sanchez Cerro/Ubinas"
"170211","180211","Yunga","Moquegua/General Sanchez Cerro/Yunga"
"170300","180300","Ilo","Moquegua/Ilo/"
"170301","180301","Ilo","Moquegua/Ilo/Ilo"
"170302","180302","El Algarrobal","Moquegua/Ilo/El Algarrobal"
"170303","180303","Pacocha","Moquegua/Ilo/Pacocha"
"180000","190000","Pasco","Pasco//"
"180100","190100","Pasco","Pasco/Pasco/"
"180101","190101","Chaupimarca","Pasco/Pasco/Chaupimarca"
"180103","190102","Huachon","Pasco/Pasco/Huachon"
"180104","190103","Huariaca","Pasco/Pasco/Huariaca"
"180105","190104","Huayllay","Pasco/Pasco/Huayllay"
"180106","190105","Ninacaca","Pasco/Pasco/Ninacaca"
"180107","190106","Pallanchacra","Pasco/Pasco/Pallanchacra"
"180108","190107","Paucartambo","Pasco/Pasco/Paucartambo"
"180109","190108","San Fco De Asis De Yarusyacan","Pasco/Pasco/San Fco De Asis De Yarusyacan"
"180110","190109","Simon Bolivar","Pasco/Pasco/Simon Bolivar"
"180111","190110","Ticlacayan","Pasco/Pasco/Ticlacayan"
"180112","190111","Tinyahuarco","Pasco/Pasco/Tinyahuarco"
"180113","190112","Vicco","Pasco/Pasco/Vicco"
"180114","190113","Yanacancha","Pasco/Pasco/Yanacancha"
"180200","190200","Daniel Alcides Carrion","Pasco/Daniel Alcides Carrion/"
"180201","190201","Yanahuanca","Pasco/Daniel Alcides Carrion/Yanahuanca"
"180202","190202","Chacayan","Pasco/Daniel Alcides Carrion/Chacayan"
"180203","190203","Goyllarisquizga","Pasco/Daniel Alcides Carrion/Goyllarisquizga"
"180204","190204","Paucar","Pasco/Daniel Alcides Carrion/Paucar"
"180205","190205","San Pedro De Pillao","Pasco/Daniel Alcides Carrion/San Pedro De Pillao"
"180206","190206","Santa Ana De Tusi","Pasco/Daniel Alcides Carrion/Santa Ana De Tusi"
"180207","190207","Tapuc","Pasco/Daniel Alcides Carrion/Tapuc"
"180208","190208","Vilcabamba","Pasco/Daniel Alcides Carrion/Vilcabamba"
"180300","190300","Oxapampa","Pasco/Oxapampa/"
"180301","190301","Oxapampa","Pasco/Oxapampa/Oxapampa"
"180302","190302","Chontabamba","Pasco/Oxapampa/Chontabamba"
"180303","190303","Huancabamba","Pasco/Oxapampa/Huancabamba"
"180304","190306","Puerto Bermudez","Pasco/Oxapampa/Puerto Bermudez"
"180305","190307","Villa Rica","Pasco/Oxapampa/Villa Rica"
"180306","190305","Pozuzo","Pasco/Oxapampa/Pozuzo"
"180307","190304","Palcazu","Pasco/Oxapampa/Palcazu"
"190000","200000","Piura","Piura//"
"190100","200100","Piura","Piura/Piura/"
"190101","200101","Piura","Piura/Piura/Piura"
"190103","200104","Castilla","Piura/Piura/Castilla"
"190104","200105","Catacaos","Piura/Piura/Catacaos"
"190105","200109","La Arena","Piura/Piura/La Arena"
"190106","200110","La Union","Piura/Piura/La Union"
"190107","200111","Las Lomas","Piura/Piura/Las Lomas"
"190109","200114","Tambo Grande","Piura/Piura/Tambo Grande"
"190113","200107","Cura Mori","Piura/Piura/Cura Mori"
"190114","200108","El Tallan","Piura/Piura/El Tallan"
"190200","200200","Ayabaca","Piura/Ayabaca/"
"190201","200201","Ayabaca","Piura/Ayabaca/Ayabaca"
"190202","200202","Frias","Piura/Ayabaca/Frias"
"190203","200204","Lagunas","Piura/Ayabaca/Lagunas"
"190204","200205","Montero","Piura/Ayabaca/Montero"
"190205","200206","Pacaipampa","Piura/Ayabaca/Pacaipampa"
"190206","200208","Sapillica","Piura/Ayabaca/Sapillica"
"190207","200209","Sicchez","Piura/Ayabaca/Sicchez"
"190208","200210","Suyo","Piura/Ayabaca/Suyo"
"190209","200203","Jilili","Piura/Ayabaca/Jilili"
"190210","200207","Paimas","Piura/Ayabaca/Paimas"
"190300","200300","Huancabamba","Piura/Huancabamba/"
"190301","200301","Huancabamba","Piura/Huancabamba/Huancabamba"
"190302","200302","Canchaque","Piura/Huancabamba/Canchaque"
"190303","200304","Huarmaca","Piura/Huancabamba/Huarmaca"
"190304","200307","Sondor","Piura/Huancabamba/Sondor"
"190305","200308","Sondorillo","Piura/Huancabamba/Sondorillo"
"190306","200303","El Carmen De La Frontera","Piura/Huancabamba/El Carmen De La Frontera"
"190307","200306","San Miguel De El Faique","Piura/Huancabamba/San Miguel De El Faique"
"190308","200305","Lalaquiz","Piura/Huancabamba/Lalaquiz"
"190400","200400","Morropon","Piura/Morropon/"
"190401","200401","Chulucanas","Piura/Morropon/Chulucanas"
"190402","200402","Buenos Aires","Piura/Morropon/Buenos Aires"
"190403","200403","Chalaco","Piura/Morropon/Chalaco"
"190404","200405","Morropon","Piura/Morropon/Morropon"
"190405","200406","Salitral","Piura/Morropon/Salitral"
"190406","200408","Santa Catalina De Mossa","Piura/Morropon/Santa Catalina De Mossa"
"190407","200409","Santo Domingo","Piura/Morropon/Santo Domingo"
"190408","200404","La Matanza","Piura/Morropon/La Matanza"
"190409","200410","Yamango","Piura/Morropon/Yamango"
"190410","200407","San Juan De Bigote","Piura/Morropon/San Juan De Bigote"
"190500","200500","Paita","Piura/Paita/"
"190501","200501","Paita","Piura/Paita/Paita"
"190502","200502","Amotape","Piura/Paita/Amotape"
"190503","200503","Arenal","Piura/Paita/Arenal"
"190504","200505","La Huaca","Piura/Paita/La Huaca"
"190505","200504","Pueblo Nuevo De Colan","Piura/Paita/Pueblo Nuevo De Colan"
"190506","200506","Tamarindo","Piura/Paita/Tamarindo"
"190507","200507","Vichayal","Piura/Paita/Vichayal"
"190600","200600","Sullana","Piura/Sullana/"
"190601","200601","Sullana","Piura/Sullana/Sullana"
"190602","200602","Bellavista","Piura/Sullana/Bellavista"
"190603","200604","Lancones","Piura/Sullana/Lancones"
"190604","200605","Marcavelica","Piura/Sullana/Marcavelica"
"190605","200606","Miguel Checa","Piura/Sullana/Miguel Checa"
"190606","200607","Querecotillo","Piura/Sullana/Querecotillo"
"190607","200608","Salitral","Piura/Sullana/Salitral"
"190608","200603","Ignacio Escudero","Piura/Sullana/Ignacio Escudero"
"190700","200700","Talara","Piura/Talara/"
"190701","200701","Parinas","Piura/Talara/Parinas"
"190702","200702","El Alto","Piura/Talara/El Alto"
"190703","200703","La Brea","Piura/Talara/La Brea"
"190704","200704","Lobitos","Piura/Talara/Lobitos"
"190705","200706","Mancora","Piura/Talara/Mancora"
"190706","200705","Los Organos","Piura/Talara/Los Organos"
"190800","200800","Sechura","Piura/Sechura/"
"190801","200801","Sechura","Piura/Sechura/Sechura"
"190802","200805","Vice","Piura/Sechura/Vice"
"190803","200803","Bernal","Piura/Sechura/Bernal"
"190804","200802","Bellavista De La Union","Piura/Sechura/Bellavista De La Union"
"190805","200804","Cristo Nos Valga","Piura/Sechura/Cristo Nos Valga"
"190806","200806","Rinconada Llicuar","Piura/Sechura/Rinconada Llicuar"
"200000","210000","Puno","Puno//"
"200100","210100","Puno","Puno/Puno/"
"200101","210101","Puno","Puno/Puno/Puno"
"200102","210102","Acora","Puno/Puno/Acora"
"200103","210104","Atuncolla","Puno/Puno/Atuncolla"
"200104","210105","Capachica","Puno/Puno/Capachica"
"200105","210107","Coata","Puno/Puno/Coata"
"200106","210106","Chucuito","Puno/Puno/Chucuito"
"200107","210108","Huata","Puno/Puno/Huata"
"200108","210109","Manazo","Puno/Puno/Manazo"
"200109","210110","Paucarcolla","Puno/Puno/Paucarcolla"
"200110","210111","Pichacani","Puno/Puno/Pichacani"
"200111","210113","San Antonio","Puno/Puno/San Antonio"
"200112","210114","Tiquillaca","Puno/Puno/Tiquillaca"
"200113","210115","Vilque","Puno/Puno/Vilque"
"200114","210112","Plateria","Puno/Puno/Plateria"
"200115","210103","Amantani","Puno/Puno/Amantani"
"200200","210200","Azangaro","Puno/Azangaro/"
"200201","210201","Azangaro","Puno/Azangaro/Azangaro"
"200202","210202","Achaya","Puno/Azangaro/Achaya"
"200203","210203","Arapa","Puno/Azangaro/Arapa"
"200204","210204","Asillo","Puno/Azangaro/Asillo"
"200205","210205","Caminaca","Puno/Azangaro/Caminaca"
"200206","210206","Chupa","Puno/Azangaro/Chupa"
"200207","210207","Jose Domingo Choquehuanca","Puno/Azangaro/Jose Domingo Choquehuanca"
"200208","210208","Munani","Puno/Azangaro/Munani"
"200210","210209","Potoni","Puno/Azangaro/Potoni"
"200212","210210","Saman","Puno/Azangaro/Saman"
"200213","210211","San Anton","Puno/Azangaro/San Anton"
"200214","210212","San Jose","Puno/Azangaro/San Jose"
"200215","210213","San Juan De Salinas","Puno/Azangaro/San Juan De Salinas"
"200216","210214","Stgo De Pupuja","Puno/Azangaro/Stgo De Pupuja"
"200217","210215","Tirapata","Puno/Azangaro/Tirapata"
"200300","210300","Carabaya","Puno/Carabaya/"
"200301","210301","Macusani","Puno/Carabaya/Macusani"
"200302","210302","Ajoyani","Puno/Carabaya/Ajoyani"
"200303","210303","Ayapata","Puno/Carabaya/Ayapata"
"200304","210304","Coasa","Puno/Carabaya/Coasa"
"200305","210305","Corani","Puno/Carabaya/Corani"
"200306","210306","Crucero","Puno/Carabaya/Crucero"
"200307","210307","Ituata","Puno/Carabaya/Ituata"
"200308","210308","Ollachea","Puno/Carabaya/Ollachea"
"200309","210309","San Gaban","Puno/Carabaya/San Gaban"
"200310","210310","Usicayos","Puno/Carabaya/Usicayos"
"200400","210400","Chucuito","Puno/Chucuito/"
"200401","210401","Juli","Puno/Chucuito/Juli"
"200402","210402","Desaguadero","Puno/Chucuito/Desaguadero"
"200403","210403","Huacullani","Puno/Chucuito/Huacullani"
"200406","210405","Pisacoma","Puno/Chucuito/Pisacoma"
"200407","210406","Pomata","Puno/Chucuito/Pomata"
"200410","210407","Zepita","Puno/Chucuito/Zepita"
"200412","210404","Kelluyo","Puno/Chucuito/Kelluyo"
"200500","210600","Huancane","Puno/Huancane/"
"200501","210601","Huancane","Puno/Huancane/Huancane"
"200502","210602","Cojata","Puno/Huancane/Cojata"
"200504","210604","Inchupalla","Puno/Huancane/Inchupalla"
"200506","210605","Pusi","Puno/Huancane/Pusi"
"200507","210606","Rosaspata","Puno/Huancane/Rosaspata"
"200508","210607","Taraco","Puno/Huancane/Taraco"
"200509","210608","Vilque Chico","Puno/Huancane/Vilque Chico"
"200511","210603","Huatasani","Puno/Huancane/Huatasani"
"200600","210700","Lampa","Puno/Lampa/"
"200601","210701","Lampa","Puno/Lampa/Lampa"
"200602","210702","Cabanilla","Puno/Lampa/Cabanilla"
"200603","210703","Calapuja","Puno/Lampa/Calapuja"
"200604","210704","Nicasio","Puno/Lampa/Nicasio"
"200605","210705","Ocuviri","Puno/Lampa/Ocuviri"
"200606","210706","Palca","Puno/Lampa/Palca"
"200607","210707","Paratia","Puno/Lampa/Paratia"
"200608","210708","Pucara","Puno/Lampa/Pucara"
"200609","210709","Santa Lucia","Puno/Lampa/Santa Lucia"
"200610","210710","Vilavila","Puno/Lampa/Vilavila"
"200700","210800","Melgar","Puno/Melgar/"
"200701","210801","Ayaviri","Puno/Melgar/Ayaviri"
"200702","210802","Antauta","Puno/Melgar/Antauta"
"200703","210803","Cupi","Puno/Melgar/Cupi"
"200704","210804","Llalli","Puno/Melgar/Llalli"
"200705","210805","Macari","Puno/Melgar/Macari"
"200706","210806","Nunoa","Puno/Melgar/Nunoa"
"200707","210807","Orurillo","Puno/Melgar/Orurillo"
"200708","210808","Santa Rosa","Puno/Melgar/Santa Rosa"
"200709","210809","Umachiri","Puno/Melgar/Umachiri"
"200800","211200","Sandia","Puno/Sandia/"
"200801","211201","Sandia","Puno/Sandia/Sandia"
"200803","211202","Cuyocuyo","Puno/Sandia/Cuyocuyo"
"200804","211203","Limbani","Puno/Sandia/Limbani"
"200805","211205","Phara","Puno/Sandia/Phara"
"200806","211204","Patambuco","Puno/Sandia/Patambuco"
"200807","211206","Quiaca","Puno/Sandia/Quiaca"
"200808","211207","San Juan Del Oro","Puno/Sandia/San Juan Del Oro"
"200810","211208","Yanahuaya","Puno/Sandia/Yanahuaya"
"200811","211209","Alto Inambari","Puno/Sandia/Alto Inambari"
"200812","211210","San Pedro De Putina Punco","Puno/Sandia/San Pedro De Putina Punco"
"200900","211100","San Roman","Puno/San Roman/"
"200901","211101","Juliaca","Puno/San Roman/Juliaca"
"200902","211102","Cabana","Puno/San Roman/Cabana"
"200903","211103","Cabanillas","Puno/San Roman/Cabanillas"
"200904","211104","Caracoto","Puno/San Roman/Caracoto"
"201000","211300","Yunguyo","Puno/Yunguyo/"
"201001","211301","Yunguyo","Puno/Yunguyo/Yunguyo"
"201002","211307","Unicachi","Puno/Yunguyo/Unicachi"
"201003","211302","Anapia","Puno/Yunguyo/Anapia"
"201004","211303","Copani","Puno/Yunguyo/Copani"
"201005","211304","Cuturapi","Puno/Yunguyo/Cuturapi"
"201006","211305","Ollaraya","Puno/Yunguyo/Ollaraya"
"201007","211306","Tinicachi","Puno/Yunguyo/Tinicachi"
"201100","211000","San Antonio De Putina","Puno/San Antonio De Putina/"
"201101","211001","Putina","Puno/San Antonio De Putina/Putina"
"201102","211003","Pedro Vilca Apaza","Puno/San Antonio De Putina/Pedro Vilca Apaza"
"201103","211004","Quilca Puncu","Puno/San Antonio De Putina/Quilca Puncu"
"201104","211002","Ananea","Puno/San Antonio De Putina/Ananea"
"201105","211005","Sina","Puno/San Antonio De Putina/Sina"
"201200","210500","El Collao","Puno/El Collao/"
"201201","210501","Ilave","Puno/El Collao/Ilave"
"201202","210503","Pilcuyo","Puno/El Collao/Pilcuyo"
"201203","210504","Santa Rosa","Puno/El Collao/Santa Rosa"
"201204","210502","Capaso","Puno/El Collao/Capaso"
"201205","210505","Conduriri","Puno/El Collao/Conduriri"
"201300","210900","Moho","Puno/Moho/"
"201301","210901","Moho","Puno/Moho/Moho"
"201302","210902","Conima","Puno/Moho/Conima"
"201303","210904","Tilali","Puno/Moho/Tilali"
"201304","210903","Huayrapata","Puno/Moho/Huayrapata"
"210000","220000","San Martin","San Martin//"
"210100","220100","Moyobamba","San Martin/Moyobamba/"
"210101","220101","Moyobamba","San Martin/Moyobamba/Moyobamba"
"210102","220102","Calzada","San Martin/Moyobamba/Calzada"
"210103","220103","Habana","San Martin/Moyobamba/Habana"
"210104","220104","Jepelacio","San Martin/Moyobamba/Jepelacio"
"210105","220105","Soritor","San Martin/Moyobamba/Soritor"
"210106","220106","Yantalo","San Martin/Moyobamba/Yantalo"
"210200","220400","Huallaga","San Martin/Huallaga/"
"210201","220401","Saposoa","San Martin/Huallaga/Saposoa"
"210202","220404","Piscoyacu","San Martin/Huallaga/Piscoyacu"
"210203","220405","Sacanche","San Martin/Huallaga/Sacanche"
"210204","220406","Tingo De Saposoa","San Martin/Huallaga/Tingo De Saposoa"
"210205","220402","Alto Saposoa","San Martin/Huallaga/Alto Saposoa"
"210206","220403","El Eslabon","San Martin/Huallaga/El Eslabon"
"210300","220500","Lamas","San Martin/Lamas/"
"210301","220501","Lamas","San Martin/Lamas/Lamas"
"210303","220503","Barranquita","San Martin/Lamas/Barranquita"
"210304","220504","Caynarachi","San Martin/Lamas/Caynarachi"
"210305","220505","Cunumbuqui","San Martin/Lamas/Cunumbuqui"
"210306","220506","Pinto Recodo","San Martin/Lamas/Pinto Recodo"
"210307","220507","Rumisapa","San Martin/Lamas/Rumisapa"
"210311","220509","Shanao","San Martin/Lamas/Shanao"
"210313","220510","Tabalosos","San Martin/Lamas/Tabalosos"
"210314","220511","Zapatero","San Martin/Lamas/Zapatero"
"210315","220502","Alonso De Alvarado","San Martin/Lamas/Alonso De Alvarado"
"210316","220508","San Roque De Cumbaza","San Martin/Lamas/San Roque De Cumbaza"
"210400","220600","Mariscal Caceres","San Martin/Mariscal Caceres/"
"210401","220601","Juanjui","San Martin/Mariscal Caceres/Juanjui"
"210402","220602","Campanilla","San Martin/Mariscal Caceres/Campanilla"
"210403","220603","Huicungo","San Martin/Mariscal Caceres/Huicungo"
"210404","220604","Pachiza","San Martin/Mariscal Caceres/Pachiza"
"210405","220605","Pajarillo","San Martin/Mariscal Caceres/Pajarillo"
"210500","220800","Rioja","San Martin/Rioja/"
"210501","220801","Rioja","San Martin/Rioja/Rioja"
"210502","220806","Posic","San Martin/Rioja/Posic"
"210503","220808","Yorongos","San Martin/Rioja/Yorongos"
"210504","220809","Yuracyacu","San Martin/Rioja/Yuracyacu"
"210505","220804","Nueva Cajamarca","San Martin/Rioja/Nueva Cajamarca"
"210506","220803","Elias Soplin","San Martin/Rioja/Elias Soplin"
"210507","220807","San Fernando","San Martin/Rioja/San Fernando"
"210508","220805","Pardo Miguel","San Martin/Rioja/Pardo Miguel"
"210509","220802","Awajun","San Martin/Rioja/Awajun"
"210600","220900","San Martin","San Martin/San Martin/"
"210601","220901","Tarapoto","San Martin/San Martin/Tarapoto"
"210602","220902","Alberto Leveau","San Martin/San Martin/Alberto Leveau"
"210604","220903","Cacatachi","San Martin/San Martin/Cacatachi"
"210606","220904","Chazuta","San Martin/San Martin/Chazuta"
"210607","220905","Chipurana","San Martin/San Martin/Chipurana"
"210608","220906","El Porvenir","San Martin/San Martin/El Porvenir"
"210609","220907","Huimbayoc","San Martin/San Martin/Huimbayoc"
"210610","220908","Juan Guerra","San Martin/San Martin/Juan Guerra"
"210611","220910","Morales","San Martin/San Martin/Morales"
"210612","220911","Papaplaya","San Martin/San Martin/Papaplaya"
"210616","220912","San Antonio","San Martin/San Martin/San Antonio"
"210619","220913","Sauce","San Martin/San Martin/Sauce"
"210620","220914","Shapaja","San Martin/San Martin/Shapaja"
"210621","220909","La Banda De Shilcayo","San Martin/San Martin/La Banda De Shilcayo"
"210700","220200","Bellavista","San Martin/Bellavista/"
"210701","220201","Bellavista","San Martin/Bellavista/Bellavista"
"210702","220206","San Rafael","San Martin/Bellavista/San Rafael"
"210703","220205","San Pablo","San Martin/Bellavista/San Pablo"
"210704","220202","Alto Biavo","San Martin/Bellavista/Alto Biavo"
"210705","220204","Huallaga","San Martin/Bellavista/Huallaga"
"210706","220203","Bajo Biavo","San Martin/Bellavista/Bajo Biavo"
"210800","221000","Tocache","San Martin/Tocache/"
"210801","221001","Tocache","San Martin/Tocache/Tocache"
"210802","221002","Nuevo Progreso","San Martin/Tocache/Nuevo Progreso"
"210803","221003","Polvora","San Martin/Tocache/Polvora"
"210804","221004","Shunte","San Martin/Tocache/Shunte"
"210805","221005","Uchiza","San Martin/Tocache/Uchiza"
"210900","220700","Picota","San Martin/Picota/"
"210901","220701","Picota","San Martin/Picota/Picota"
"210902","220702","Buenos Aires","San Martin/Picota/Buenos Aires"
"210903","220703","Caspizapa","San Martin/Picota/Caspizapa"
"210904","220704","Pilluana","San Martin/Picota/Pilluana"
